DEBUG | Thread-6 - leelou.e.a.e | Source format now is: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
DEBUG | Thread-6 - leelou.e.a.e | Destination format now is: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
DEBUG | Thread-6 - leelou.e.a.e | Based on compile time selection the optimal output format is: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
INFO | Thread-6 - leelou.e.a.m | Input format: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
INFO | Thread-6 - qarbon.common.c.e | Thumbnails encoded in 31ms
DEBUG | Thread-6 - qarbon.common.c.e | Encoding data pack 0005
DEBUG | Thread-6 - qarbon.common.c.e | Copy data pack 0006
DEBUG | Thread-6 - qarbon.common.c.e | Encoding data pack 0007
DEBUG | Thread-6 - qarbon.common.c.e | Copy data pack 0008
DEBUG | Thread-6 - qarbon.common.c.e | Empty data pack global
INFO | Thread-6 - qarbon.common.c.e | Project encoded in 1000ms
DEBUG | AWT-EventQueue-0 - QCompilationManager | QCompilationManager: Compile Started
DEBUG | AWT-EventQueue-0 - leelou.s.cb | QViewletExporter: Write
DEBUG | QViewletExporter - leelou.s.cb | QViewletExporter: Thread run()
DEBUG | QViewletExporter - leelou.s.cb | QViewletExporter: flashGenerator.generate: filename:progress_compare path:C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 1
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 2
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 3
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 4
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 5
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 6
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 5
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 6
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 5
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 6
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 5
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 6
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 7
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 8
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 10
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 11
DEBUG | QViewletExporter - QMainApp | Built Url: http://services.qarbon.com/client/urlredirector?action=vb_download&lang=en&type=pro&ver=4.5.11&pn=4&prod=vb&os=windows&act=1&pvca=4478-436A733F14-46&cvca=0
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : loginTitle
